edad,ingreso_mensual,antiguedad_cliente_meses,segmento_cliente,region,canal_adquisicion,limite_credito,saldo_promedio,porcentaje_utilizacion,num_transacciones_mes,pagos_atrasados_12m,reclamos_12m,tipo_producto,tipo_contrato,metodo_pago,default_12m
32,21895.88,29,Básico,Norte,Sucursal,96319.69,15877.34,0.16,14,1,0,Tarjeta,Mensual,Efectivo,1
62,23561.75,10,Básico,Sur,App,75785.55,13422.63,0.18,16,0,0,Tarjeta,Mensual,Transferencia,1
39,,5,Básico,Centro,App,75390.31,8214.25,0.11,22,0,3,Línea de crédito,Mensual,Transferencia,1
27,9654.9,59,Premium,Norte,Referido,38940.01,2986.07,0.08,13,1,0,Tarjeta,Mensual,Débito automático,0
49,4080.22,13,Plus,Norte,Sucursal,11402.36,8319.25,0.73,20,1,1,Préstamo,Mensual,Débito automático,1
25,9925.58,25,Básico,Norte,Web,43925.02,19165.77,0.44,20,3,0,Línea de crédito,Mensual,Transferencia,1
42,11129.93,1,Básico,Sur,Web,41870.03,1884.28,0.05,20,1,1,Tarjeta,Anual,Transferencia,1
18,11072.75,12,Básico,Centro,Web,40892.79,7384.53,0.18,20,0,1,Tarjeta,Mensual,Débito automático,1
24,19363.28,40,Básico,Sur,Web,48861.51,2920.59,0.06,16,2,1,Préstamo,Mensual,Débito automático,1
42,43976.29,11,Plus,Sur,Web,171438.11,42118.57,0.25,15,1,0,Línea de crédito,Mensual,Débito automático,0
48,14387.54,22,Básico,Sur,Sucursal,37569.56,13748.81,0.37,17,0,3,Tarjeta,Anual,Débito automático,1
42,11730.66,5,Plus,Norte,Web,33675.92,2865.63,0.09,13,2,1,Préstamo,Anual,Transferencia,1
38,11435.38,12,Básico,Norte,App,30843.97,17083.08,0.55,17,2,2,Préstamo,Mensual,Débito automático,1
36,14394.92,63,Plus,Centro,App,46875.8,22032.52,0.47,16,0,0,Préstamo,Mensual,Transferencia,0
22,8127.62,20,Plus,Centro,App,33253.54,9119.54,0.27,12,1,1,Tarjeta,Anual,Transferencia,1
31,,55,Básico,Centro,Sucursal,56211.35,24280.36,0.43,30,3,0,Tarjeta,Anual,Transferencia,1
34,17509.3,55,Plus,Norte,Referido,47509.56,92555.53,0.35,23,1,6,Tarjeta,Mensual,Débito automático,1
52,15150.85,69,Plus,Sur,App,62071.84,40076.41,0.65,14,0,0,Préstamo,Anual,Transferencia,0
44,17580.14,54,Plus,Norte,App,60153.87,7278.13,0.12,17,0,1,Préstamo,Mensual,Transferencia,1
18,17330.94,1,Básico,Norte,App,44458.39,20786.03,0.47,21,0,0,Tarjeta,Anual,Débito automático,1
43,4614.05,65,Premium,Centro,App,13600.63,4098.94,0.3,25,1,0,Tarjeta,Anual,Transferencia,0
35,19577.22,3,Plus,Norte,App,79686.56,15692.38,0.2,18,1,0,Tarjeta,Mensual,Transferencia,1
31,8931.96,1,Básico,Norte,Sucursal,35429.51,7558.3,0.21,21,0,0,Tarjeta,Mensual,Débito automático,1
47,,1,Básico,Norte,App,19913.26,5728.22,0.29,23,0,1,Tarjeta,Anual,Transferencia,1
52,6886.57,10,Básico,Norte,Referido,17739.8,345.88,0.02,21,0,1,Tarjeta,Anual,Transferencia,0
51,17328.8,23,Básico,Norte,Web,53552.98,4213.58,0.08,24,2,1,Tarjeta,Mensual,Débito automático,1
29,11689.6,12,Premium,Norte,App,47808.76,14842.42,0.31,23,3,0,Tarjeta,Mensual,Transferencia,1
36,4869.85,1,Básico,Centro,App,21314.27,4871.88,0.23,21,2,1,Tarjeta,Mensual,Transferencia,1
43,17797.67,15,Premium,Centro,Sucursal,64886.22,16531.67,0.25,12,2,2,Tarjeta,Mensual,Transferencia,1
51,5632.09,14,Básico,Centro,Web,15106.42,4242.66,0.28,24,1,0,Tarjeta,Anual,Efectivo,1
34,14528.87,33,Básico,Centro,App,50911.66,14355.82,0.28,21,1,0,Tarjeta,Mensual,Transferencia,0
37,15415.05,7,Premium,Norte,App,69330.45,37022.11,0.53,20,0,3,Línea de crédito,Mensual,Débito automático,1
26,22727.85,5,Básico,Norte,App,99487.47,37541.76,0.38,14,1,1,Tarjeta,Anual,Transferencia,1
25,38910.17,7,Plus,Sur,App,174567.43,57594.93,0.33,14,1,0,Tarjeta,Mensual,Transferencia,1
49,5891.08,8,Premium,Centro,App,22968.31,2277.8,0.1,17,1,2,Línea de crédito,Anual,Débito automático,1
56,12945.66,21,Premium,Norte,Sucursal,43396.14,2980.51,0.07,12,1,0,Préstamo,Mensual,Débito automático,1
39,11318.56,15,Plus,Sur,App,48514.27,7314.01,0.15,22,1,0,Tarjeta,Mensual,Transferencia,1
52,17330.96,9,Premium,Centro,Sucursal,74356.08,37784.97,0.51,21,1,0,Préstamo,Mensual,Transferencia,1
44,15205.33,11,Plus,Norte,Sucursal,42403.55,21719.49,0.51,17,1,0,Préstamo,Anual,Débito automático,1
32,10812.65,11,Básico,Sur,Web,43799.59,18875.01,0.43,17,0,1,Tarjeta,Mensual,Débito automático,1
44,10254.36,86,Plus,Centro,App,44489.78,7747.45,0.17,23,3,0,Préstamo,Anual,Transferencia,1
58,6837.17,6,Premium,Sur,Web,29379.6,5916.37,0.2,14,4,0,Tarjeta,Mensual,Débito automático,1
39,24166.36,40,Plus,Norte,App,94579.1,15205.71,0.16,17,3,0,Tarjeta,Mensual,Débito automático,1
58,17597.68,29,Básico,Norte,App,62906.73,23976.84,0.38,24,1,1,Tarjeta,Anual,Débito automático,1
18,23171.1,1,Plus,Centro,Sucursal,93924,4820.39,0.05,11,1,0,Tarjeta,Anual,Transferencia,1
49,11089.59,119,Plus,Norte,Web,39171.9,9637.97,0.08,25,0,14,Préstamo,Anual,Efectivo,1
41,9008.27,33,Básico,Norte,App,28308.21,16810.99,0.59,14,0,2,Tarjeta,Anual,Transferencia,1
36,6995.42,27,Plus,Sur,Web,21111.32,3131.26,0.15,15,2,0,Préstamo,Mensual,Efectivo,1
41,16570.02,12,Plus,Norte,Referido,59342.47,30944.19,0.52,23,1,0,Préstamo,Mensual,Débito automático,1
18,7158.99,19,Plus,Sur,App,24425.82,10414.69,0.43,19,1,1,Línea de crédito,Anual,Débito automático,1
37,40505.69,7,Básico,Centro,Sucursal,143754.33,31012.15,0.22,16,1,0,Línea de crédito,Mensual,Transferencia,0
44,6096.16,1,Básico,Sur,App,18418.9,8271.91,0.45,15,1,1,Tarjeta,Mensual,Débito automático,1
57,15743.71,43,Plus,Centro,Web,57955.21,4294.66,0.07,16,2,1,Préstamo,Anual,Transferencia,1
33,34204.51,54,Plus,Centro,Referido,130803.14,40834.73,0.31,10,0,0,Tarjeta,Anual,Débito automático,1
30,19138.43,4,Básico,Centro,App,78729.73,29992.23,0.38,10,2,2,Tarjeta,Mensual,Transferencia,1
33,,37,Básico,Centro,App,54628.45,17437.43,0.32,12,3,1,Tarjeta,Mensual,Transferencia,1
50,7471.94,32,Básico,Centro,App,29978.48,11417.38,0.38,27,0,0,Tarjeta,Mensual,Efectivo,0
43,5830.97,4,Básico,Norte,Sucursal,16552.78,6800.65,0.41,15,2,0,Préstamo,Mensual,Débito automático,1
33,21205.8,13,Premium,Norte,Web,58148.97,12878.34,0.22,17,1,0,Línea de crédito,Anual,Transferencia,1
46,32981.05,13,Plus,Norte,App,94302.12,29577.96,0.31,15,0,1,Tarjeta,Mensual,Débito automático,1
41,10267,34,Premium,Centro,Sucursal,43044.7,1078.68,0.03,24,0,1,Tarjeta,Anual,Transferencia,0
51,6745.04,43,Plus,Sur,Web,24365.12,9473.67,0.39,21,0,0,Tarjeta,Mensual,Transferencia,1
31,3056.72,2,Plus,Norte,App,10425.35,4091.99,0.39,14,1,0,Tarjeta,Mensual,Débito automático,1
36,7417.08,19,Básico,Norte,App,29848.71,9444.9,0.32,14,1,0,Tarjeta,Mensual,Débito automático,1
35,12479.04,34,Plus,Sur,Web,34294.35,14600.46,0.43,14,3,0,Préstamo,Mensual,Débito automático,1
22,34873.2,37,Básico,Centro,App,87615.99,14162.49,0.16,21,3,3,Línea de crédito,Anual,Débito automático,1
43,20007.85,3,Plus,Sur,Sucursal,62463.11,25122.65,0.4,7,1,0,Tarjeta,Mensual,Efectivo,1
43,16043.37,17,Básico,Sur,App,48094.65,17398.81,0.36,21,0,1,Tarjeta,Mensual,Débito automático,0
40,10508.38,46,Básico,Norte,Web,32730.04,12179.62,0.37,17,0,0,Préstamo,Anual,Transferencia,0
37,9415.39,9,Básico,Sur,Web,41871.53,22492.45,0.54,22,3,0,Préstamo,Anual,Débito automático,1
23,31051.07,13,Plus,Norte,Referido,112885.9,65754.64,0.58,17,3,0,Línea de crédito,Mensual,Débito automático,1
34,,39,Básico,Sur,Web,55429.83,15806.13,0.29,16,2,0,Línea de crédito,Anual,Débito automático,1
35,,2,Básico,Centro,Web,14420.7,5131.64,0.36,19,2,0,Préstamo,Anual,Transferencia,1
30,8918.44,47,Premium,Centro,Referido,29390.28,6425.25,0.22,21,1,1,Tarjeta,Mensual,Efectivo,1
38,7983.01,8,Plus,Sur,Sucursal,35587.86,11354.67,0.32,20,1,0,Tarjeta,Mensual,Débito automático,0
44,9626.18,1,Básico,Sur,Sucursal,42803.02,34533.6,0.81,20,2,0,Préstamo,Mensual,,1
62,18727.46,6,Básico,Centro,Web,75630.69,23687.52,0.31,19,1,0,Tarjeta,Anual,Transferencia,0
42,,2,Básico,Centro,Web,36617.26,11971.02,0.33,19,4,0,Tarjeta,Anual,Transferencia,1
43,12757.58,2,Plus,Norte,Web,54352.31,10312.71,0.19,15,0,0,Préstamo,Anual,Débito automático,0
39,29380.42,28,Plus,Sur,App,79381.2,6273.97,0.08,15,4,2,Tarjeta,Mensual,Débito automático,1
18,8796.62,5,Básico,Norte,App,33073.46,12169.81,0.37,13,0,0,Tarjeta,Mensual,Transferencia,1
39,40885.05,65,Premium,Sur,Web,139599.15,18487.24,0.13,19,0,0,Tarjeta,Mensual,Transferencia,0
40,8930.39,17,Básico,Centro,Web,23026.4,9705.02,0.42,22,1,0,Línea de crédito,Anual,Débito automático,1
69,14094.2,14,Básico,Centro,Sucursal,60715.21,37736.87,0.16,22,0,13,Tarjeta,Anual,Transferencia,1
37,11285.54,13,Premium,Centro,Sucursal,49906.77,15719.34,0.31,13,2,1,Tarjeta,Mensual,Efectivo,1
43,14386.59,28,Básico,Sur,App,62075.08,5521.57,0.09,18,1,2,Préstamo,Mensual,Débito automático,1
39,17444.07,14,Premium,Sur,Web,50324.99,23946.56,0.48,16,1,0,Préstamo,Anual,Débito automático,0
25,17331.85,3,Plus,Norte,Sucursal,54872.01,16168.47,0.29,15,0,0,Préstamo,Mensual,Débito automático,0
53,,50,Básico,Sur,App,37509.02,3507.46,0.09,19,0,0,Línea de crédito,Mensual,Débito automático,0
49,6810.71,13,Básico,Sur,App,18476.41,4275.31,0.23,15,2,1,Préstamo,Anual,Efectivo,1
49,59988.2,1,Plus,Sur,Referido,219953.29,59256.03,0.27,11,1,2,Línea de crédito,Mensual,Transferencia,1
29,9992.69,18,Premium,Sur,Web,34685.09,17870.45,0.52,17,1,1,Tarjeta,Anual,Transferencia,1
56,20323.38,25,Básico,Centro,App,56982.65,14973.69,0.26,14,2,2,Tarjeta,Mensual,Efectivo,1
23,5091.95,7,Básico,Norte,Sucursal,21758.67,10362.87,0.48,20,0,0,Préstamo,Anual,Transferencia,0
47,,38,Básico,Centro,Web,31271.71,7292.43,0.23,14,2,0,Tarjeta,Anual,Transferencia,1
66,12378.05,26,Plus,Sur,App,45618.25,22443.87,0.49,24,2,0,Línea de crédito,Anual,Débito automático,1
28,,25,Básico,Sur,Referido,55645.28,20670.44,0.37,19,1,0,Tarjeta,Mensual,Transferencia,1
33,2608.49,13,Básico,Centro,Web,8701.83,3599.4,0.41,18,0,0,Tarjeta,Mensual,Débito automático,1
41,14760.12,78,Premium,Sur,App,43139.69,3625.94,0.08,14,1,1,Tarjeta,Anual,Débito automático,1
33,6701.96,7,Básico,Sur,Sucursal,25127.91,4846.59,0.19,16,0,1,Tarjeta,Anual,Transferencia,1
21,16229.85,20,Básico,Norte,App,72666.8,14883.09,0.2,19,1,2,Tarjeta,Mensual,Débito automático,1
40,7173.88,8,Plus,Norte,App,29894.19,3802.03,0.13,16,2,0,Préstamo,Mensual,Transferencia,1
27,7996.11,32,Plus,Sur,Web,30916.25,8255.16,0.27,10,2,0,Préstamo,Mensual,Transferencia,1
45,11336.96,1,Básico,Norte,Web,45492.53,11489.33,0.25,15,1,0,Tarjeta,Anual,Efectivo,1
28,7105.34,1,Básico,Norte,Sucursal,29690.2,12215.69,0.41,15,2,1,Tarjeta,Mensual,Transferencia,1
58,10043.48,39,Básico,Centro,Sucursal,34600.75,11494.54,0.33,21,0,0,Tarjeta,Mensual,Débito automático,1
30,6528.77,13,Básico,Sur,Web,23726.14,9483.46,0.4,13,0,0,Tarjeta,Anual,Transferencia,1
36,4447.5,10,Plus,Centro,App,19084.08,7445.27,0.39,21,1,1,Tarjeta,Mensual,Transferencia,1
49,24606.7,22,Plus,Sur,App,95766.7,30359.22,0.32,14,1,0,Tarjeta,Anual,Débito automático,1
25,6138.72,29,Plus,Norte,Web,17016.8,2063.65,0.12,15,3,1,Línea de crédito,Anual,Débito automático,1
42,12001.55,5,Plus,Norte,App,48715.17,5270.19,0.11,16,1,1,Tarjeta,Anual,Transferencia,1
55,20988.6,4,Plus,Centro,Web,53424.64,27194.92,0.51,14,1,1,Tarjeta,Mensual,Transferencia,1
20,9237.56,76,Plus,Sur,Sucursal,38752.08,13251.28,0.34,11,0,0,Tarjeta,Mensual,Débito automático,0
42,8142.89,21,Premium,Centro,Web,33195.3,15033.05,0.45,17,2,0,Tarjeta,Anual,Débito automático,1
43,15302.06,11,Básico,Norte,Sucursal,63679.41,26321.42,0.41,18,1,1,Línea de crédito,Mensual,Efectivo,1
49,26127.93,38,Plus,Centro,App,66552.68,11468.73,0.17,11,2,1,Tarjeta,Anual,Débito automático,1
25,6623.71,17,Básico,Sur,Sucursal,29441.71,2425.23,0.08,22,2,0,Línea de crédito,Mensual,Transferencia,1
24,12208.79,6,Básico,Norte,Sucursal,45517.59,13754.89,0.3,14,2,0,Préstamo,Mensual,Débito automático,1
46,4724.43,5,Plus,Norte,Web,19370.64,6861.66,0.35,20,1,0,Tarjeta,Anual,Débito automático,1
43,10552.09,12,Básico,Centro,App,38337,9958.54,0.26,14,1,0,Tarjeta,Mensual,Débito automático,1
43,13636.74,47,Plus,Norte,App,43357.99,8857.03,0.2,16,0,0,Tarjeta,Anual,Transferencia,0
44,8000.23,1,Plus,Centro,App,24739.08,2743.79,0.11,19,2,0,Línea de crédito,Anual,Transferencia,1
31,10155.85,5,Plus,Norte,App,26810.1,10689.89,0.4,16,2,1,Préstamo,Anual,Débito automático,1
42,5739.14,53,Plus,Norte,Web,20574.97,11449.68,0.56,19,0,0,Tarjeta,Mensual,Transferencia,0
43,,3,Básico,Centro,Web,38998.44,7884.66,0.2,23,2,1,Línea de crédito,Anual,Transferencia,1
31,25170.21,23,Básico,Norte,App,91494.6,28700.92,0.31,19,2,0,Tarjeta,Anual,Débito automático,1
62,6916.84,5,Premium,Norte,Web,25936.97,15934.81,0.61,18,1,3,Tarjeta,Anual,Transferencia,1
45,9194.83,22,Básico,Sur,Referido,31116.8,10045.8,0.32,15,2,2,Préstamo,Anual,Débito automático,1
25,18061.32,11,Plus,Norte,App,50800.16,4757.81,0.09,24,2,2,Tarjeta,Mensual,Débito automático,1
47,,2,Básico,Centro,App,93041.94,30469.63,0.33,19,0,1,Préstamo,Mensual,Débito automático,1
28,5453.9,20,Básico,Sur,Web,23219.13,6202.26,0.27,21,2,1,Tarjeta,Anual,Transferencia,1
49,12073.03,27,Básico,Norte,App,41242.62,11510.63,0.28,25,1,2,Línea de crédito,Mensual,Efectivo,1
53,15833.43,27,Plus,Norte,Web,50436.72,10054.61,0.2,8,3,2,Tarjeta,Anual,Transferencia,1
30,12566.2,24,Básico,Centro,App,47242.99,3683.28,0.08,14,0,1,Préstamo,Mensual,Débito automático,0
51,,16,Básico,Centro,Web,11298.23,4229.81,0.37,20,0,0,Préstamo,Mensual,Transferencia,1
44,18045.54,17,Básico,Centro,App,48384.31,27147.12,0.56,26,2,0,Tarjeta,Mensual,Transferencia,1
49,,24,Básico,Sur,App,98831.04,38932.68,0.39,19,0,0,Préstamo,Anual,Débito automático,0
62,14328.37,28,Básico,Norte,App,49988.97,3563.42,0.07,17,1,1,Préstamo,Mensual,Transferencia,0
37,,25,Básico,Centro,Web,23263.53,6948.52,0.3,11,2,0,Préstamo,Mensual,Efectivo,1
30,9819.48,21,Plus,Sur,Web,30832.33,32162.53,0.2,16,0,7,Préstamo,Anual,Transferencia,1
29,38636.31,4,Básico,Norte,Web,131032.25,26187.34,0.2,12,2,0,Préstamo,Mensual,Transferencia,1
30,,5,Básico,Norte,App,71048.01,7782.49,0.11,15,1,1,Tarjeta,Mensual,Transferencia,1
39,19614.34,7,Premium,Centro,Web,62666.69,14294.67,0.23,20,3,2,Tarjeta,Mensual,Transferencia,1
44,16545.14,60,Básico,Sur,Web,66962.47,12565.45,0.19,19,1,2,Tarjeta,Mensual,Débito automático,0
43,8985.05,34,Premium,Norte,Web,31631.54,7783.03,0.25,21,0,0,Tarjeta,Anual,Transferencia,0
49,11844.95,19,Básico,Centro,Sucursal,50290.26,15373.07,0.31,12,2,0,Préstamo,Anual,Débito automático,1
40,12749.49,6,Básico,Norte,App,56061.03,13279.18,0.24,21,1,0,Tarjeta,Anual,Efectivo,1
57,18578.21,2,Básico,Centro,Referido,80706.61,16419.19,0.2,22,0,2,Tarjeta,Anual,Efectivo,0
36,33035.94,54,Plus,Norte,App,99353.02,41744.41,0.42,22,0,1,Préstamo,Anual,Efectivo,1
72,26134.27,53,Plus,Centro,Web,90052.74,30109.67,0.33,17,1,0,Préstamo,Anual,Débito automático,0
47,5700.84,2,Básico,Centro,App,20352.61,2769.55,0.14,23,1,0,Tarjeta,Mensual,Transferencia,1
29,15281.48,38,Plus,Sur,App,64249.18,9205.38,0.14,18,1,0,Tarjeta,Mensual,Débito automático,1
27,,14,Básico,Sur,App,75206.34,28896.41,0.38,8,0,1,Línea de crédito,Mensual,Transferencia,0
45,19366.81,9,Básico,Sur,Referido,58205.62,5979.37,0.1,22,2,0,Préstamo,Mensual,Débito automático,1
37,9158.7,32,Plus,Norte,App,32926.25,8800.93,0.27,22,2,1,Tarjeta,Mensual,Efectivo,1
48,76762.04,22,Plus,Norte,App,198703.84,46835.2,0.24,25,0,0,Línea de crédito,Anual,Transferencia,0
45,6208.96,36,Básico,Centro,Sucursal,25880.67,2536.97,0.1,12,0,1,Tarjeta,Mensual,Transferencia,0
39,6975,1,Básico,Centro,Sucursal,25333.17,257.38,0.01,17,1,0,Préstamo,Mensual,Transferencia,1
29,15369.76,9,Plus,Centro,App,58457.86,21312.38,0.36,17,1,1,Tarjeta,Mensual,Débito automático,1
21,47575.91,9,Premium,Norte,Web,138059.5,19720.32,0.14,11,0,2,Préstamo,Mensual,Transferencia,1
34,8089.18,9,Básico,Centro,Referido,29252.66,5810.71,0.2,17,1,0,Préstamo,Mensual,Transferencia,1
50,11390.14,16,Premium,Norte,App,40563.39,3976.01,0.1,20,1,2,Tarjeta,Anual,Transferencia,1
42,25498.53,7,Básico,Centro,Web,95345.69,15892.92,0.17,17,1,1,Préstamo,Mensual,Transferencia,1
25,13217.31,14,Premium,Norte,Referido,55444.51,12753.44,0.23,12,1,0,Tarjeta,Anual,Transferencia,1
42,10929.68,11,Plus,Sur,Sucursal,44036.54,9755.06,0.22,17,0,0,Línea de crédito,Anual,Transferencia,1
44,18758.08,31,Premium,Norte,Web,67411.82,10424.69,0.15,22,2,1,Tarjeta,Mensual,Transferencia,1
29,15732.92,22,Plus,Sur,Web,67443.99,9675.14,0.14,23,0,0,Tarjeta,Mensual,Débito automático,1
41,24791.68,25,Básico,Sur,Sucursal,79750.78,14292.25,0.18,10,0,0,Línea de crédito,Anual,Efectivo,0
40,28995.08,5,Básico,Sur,Web,101050.79,36905.07,0.37,12,3,2,Préstamo,Anual,Transferencia,1
26,16061.84,9,Plus,Sur,Web,61016.83,11053.56,0.18,23,0,1,Tarjeta,Mensual,Transferencia,1
44,15915.35,1,Básico,Norte,Referido,53818.3,10995.65,0.2,20,0,2,Préstamo,Mensual,Transferencia,1
46,15191.12,2,Básico,Centro,App,48958.51,15725.32,0.32,16,1,1,Préstamo,Anual,Transferencia,1
52,17916.52,7,Premium,Sur,Sucursal,48818.72,9854.8,0.2,14,2,0,Tarjeta,Anual,Transferencia,1
52,13809.37,1,Básico,Norte,Sucursal,52086.15,12276.19,0.24,19,0,0,Tarjeta,Mensual,Débito automático,0
23,13354.85,22,Básico,Centro,Sucursal,38531.58,11299.89,0.29,25,2,0,Línea de crédito,Mensual,Transferencia,1
28,27391.18,120,Básico,Centro,Referido,76051.88,16014.95,0.21,17,3,1,Tarjeta,Anual,Transferencia,1
46,33178.91,2,Plus,Centro,App,95034.54,32054.45,0.34,19,2,2,Tarjeta,Mensual,Transferencia,1
46,5407.1,41,Básico,Sur,Sucursal,20963.12,3298.83,0.16,13,1,1,Préstamo,Anual,Débito automático,1
46,13440.3,3,Básico,Centro,Sucursal,37319.92,5915.43,0.16,21,2,0,Tarjeta,Mensual,Débito automático,1
75,8837.71,26,Premium,Norte,Referido,39349.67,3780.73,0.1,19,0,0,Tarjeta,Anual,Transferencia,0
46,11085.76,24,Plus,Sur,Sucursal,44532.43,8198.08,0.18,24,0,0,Préstamo,Anual,Transferencia,0
53,17009.2,55,Plus,Norte,Sucursal,55883.21,8086.57,0.14,20,1,0,Tarjeta,Mensual,Transferencia,0
51,19963.54,2,Plus,Sur,Web,73596.91,28880.81,0.39,19,0,3,Tarjeta,Anual,Efectivo,1
47,12490.51,9,Básico,Sur,Web,31416.79,6808.97,0.22,20,0,0,Préstamo,Mensual,Débito automático,1
36,4238.63,2,Plus,Sur,Web,17755.9,4950.33,0.28,18,0,1,Préstamo,Anual,Transferencia,1
49,7487.37,12,Básico,Centro,Web,22779.74,5106.03,0.22,20,2,0,Tarjeta,Anual,Débito automático,1
30,22877.29,58,Básico,Sur,Web,60482.22,25103.7,0.42,18,1,0,Préstamo,Mensual,Transferencia,1
37,2580.51,36,Básico,Centro,Web,10363.96,5371.17,0.52,8,2,2,Tarjeta,Mensual,Débito automático,1
34,27240.4,30,Básico,Centro,Referido,86056.86,26921.44,0.31,23,1,1,Préstamo,Mensual,Transferencia,1
40,18264.93,18,Básico,Norte,Web,66394.52,7777.43,0.12,18,2,2,Tarjeta,Mensual,Transferencia,1
67,,51,Básico,Norte,App,123246.79,63697.62,0.52,15,6,1,Tarjeta,Mensual,Débito automático,1
18,11859.19,14,Plus,Sur,Sucursal,48051.82,23931.4,0.5,28,1,0,Tarjeta,Mensual,Transferencia,1
48,3878.32,3,Básico,Centro,Web,12308.51,3658.9,0.3,24,0,0,Préstamo,Mensual,Transferencia,1
20,17295.78,43,Plus,Centro,Web,73289,27760.72,0.38,22,0,0,Tarjeta,Mensual,Transferencia,1
34,28704,7,Plus,Centro,Web,94083.11,42844.89,0.46,15,3,0,Tarjeta,Mensual,Efectivo,1
53,23267.97,1,Premium,Sur,Web,81439.01,13095.25,0.16,17,3,0,Tarjeta,Mensual,Transferencia,1
40,8976.68,3,Básico,Sur,Referido,33437.38,4546.07,0.14,19,1,2,Tarjeta,Mensual,Transferencia,1
27,14073.61,22,Plus,Norte,Sucursal,37181.94,11192.61,0.3,21,2,0,Préstamo,Anual,Transferencia,1
31,9704.05,22,Plus,Centro,Sucursal,35849.93,4335.92,0.12,22,1,1,Tarjeta,Mensual,,1
48,8171.76,7,Premium,Norte,Sucursal,29866.45,3652.58,0.12,15,3,0,Préstamo,Anual,Transferencia,1
31,23700.07,31,Básico,Centro,Web,100653.92,40385.04,0.4,10,0,0,Préstamo,Anual,Débito automático,0
